iter	Passed	Remaining
0	162	162271	1	474	236580
2	694	230949
3	868	216324
4	943	187698
5	1026	170076
6	1032	146474
7	10418	1030	113489
9	1119	110832
10	1248	112273
11	1313	108107
12	1483	112668
13	1565	110286
14	1713	112501
15	1793	110312
16	1994	115311
17	2066	112732
18	2118	109385
19	2146	105173
20	2160	100740
21	2168	964022	2538	107822
23	2669	108566
24	2901	113164
25	3021	113192
26	3093	111478
27	3102	107688
28	3158	105771
29	3182	130	28730	3260	31	3056	92456
32	3186	93380
33	3264	92753
34	3409	94016
35	3589	96124
36	3597	93631
37	3694	93517
38	3900	96104
39	3983	95597
40	4113	96213
41	4273	97473
42	4358	96994
43	4532	98476
44	4618	98009
45	4803	99627
46	4896	99294
47	5138	101908
48	5266	102220
49	5392	102459
50	5565	103561
51	5689	103719
52	5822	104027
53	5964	104490
54	6092	104683
55	6175	104095
56	6376	105494
57	6447	104723
58	6548	104446
59	6679	104639
60	6863	105647
61	6869	103933
62	6876	102271
63	6883	100672
64	6890	99123
65	6939	98211
66	6948	96763
67	7164	98189
68	7291	98383
69	7359	97774
70	7424	97142
71	7485	96476
72	7586	96336
73	7761	97118
74	7935	97876
75	8037	97719
76	8193	98215
77	8324	98395
78	8343	97269
79	8355	96091
80	8362	9483	8782	95773
84	8822	94969
85	8927	94878
86	9003	94489
87	9173	95065
88	9348	95691
89	9460	95653
90	9469	94588
91	9593	94685
92	9641	94027
93	9651	93027
94	9680	92215
95	9707	91413
96	9772	90977
97	9785	90062
98	9982	90854
99	10163	91475
100	10204	90825
101	10234	90105
102	10282	89544
103	10340	89090
104	10371	88406
105	10399	87707
106	10410	86881
107	10432	86167
108	10478	85657
109	10581	85611
110	10622	85078
111	10682	84697
112	10712	84084
113	10942	85046
114	11155	85852
115	11263	85832
116	11537	87073
117	11657	87135
118	11745	86953
119	11756	86215
120	11771	85511
121	11779	84772
122	11786	84040
123	11796	83333
124	11806	82644
125	11818	81978
126	11936	82053
127	12045	82057
128	12302	83065
129	12320	82450
130	12384	82152
131	12450	81868
132	12472	81304
133	12511	80859
134	12525	80257
135	12554	79759
136	12580	79248
137	12744	79605
138	12761	79045
139	12772	78462
140	12791	77930
141	12829	77519
142	12920	77432
143	12930	76863
144	12957	76405
145	13119	76737
146	13239	76826
147	13337	76782
148	13568	77497
149	13669	77458
150	13767	77405
151	13955	77857
152	14068	77880
153	14264	78360
154	14354	78252
155	14407	77946
156	14579	78282
157	14639	78014
158	14775	78150
159	14894	78193
160	14940	77859
161	14983	77505
162	15075	77411
163	15102	76985
164	15171	76776
165	15210	76418
166	15285	76242
167	15412	76329
168	15574	76582
169	15753	76915
170	15807	76633
171	15903	76560
172	15987	76425
173	16116	76507
174	16253	76624
175	16429	76919
176	16572	77057
177	16586	76596
178	16614	76203
179	16620	75717
180	16698	75559
181	16781	75425
182	16855	75250
183	16867	74801
184	16914	74516
185	16937	74122
186	16957	73725
187	16980	73342
188	17084	73308
189	17139	73067
190	17147	72631
191	17294	72783
192	17338	72496
193	17360	72126
194	17373	71720
195	17408	71410
196	17418	70999
197	17480	70803
198	17535	70583
199	17574	70299
200	17604	69979
201	17619	69607
202	17681	69417
203	17726	69166
204	17776	68938
205	17911	69039
206	18039	69107
207	18137	69061
208	18213	68932
209	18247	68644
210	18312	68477
211	18390	68356
212	18478	6212	1213	18557	6213	1214	18651	6214	1215	18712	6215	18542	67302
216	18551	66938
217	18584	66666
218	18666	66568
219	18769	66546
220	18819	66336
221	18842	66032
222	18858	65709
223	18928	65575
224	18948	65265
225	18995	65054
226	19065	64923
227	19155	64860
228	19333	65093
229	19401	64954
230	19489	64880
231	19695	65199
232	19882	65451
233	19971	65377
234	20108	65460
235	20167	65288
236	20200	65032
237	20397	65306
238	20519	65336
239	20538	65038
240	20558	64747
241	20649	64680
242	20770	64705
243	20831	64544
244	20852	64259
245	20871	63973
246	20894	63700
247	2250	21353	63720
251	21408	6249	21198	63595
250	2253	21633	63536
254	21670	6252	21447	63325
253	21594	63424
254	21678	63336
255	21703	63075
256	21751	62884
257	2260	22276	63075
261	22458	63260
262	22522	63114
263	22609	63032
264	22760	63127
265	22810	62944
266	22975	63076
267	22999	62819
268	23036	62600
269	23071	62378
270	23095	62126
271	23139	61931
272	23216	61825
273	23501	62269
274	23657	62370
275	23760	62327
276	23771	62045
277	23965	62240
278	24102	62286
279	24191	62206
280	24328	62249
281	24451	62256
282	24478	62017
283	24505	61782
284	24626	61782
285	24712	61694
286	24744	61473
287	24816	61352
288	25031	61581
289	25072	61384
290	25170	61326
291	25183	61061
292	25244	60913
293	25518	61279
294	25750	61539
295	25825	61422
296	26067	61702
297	26318	61999
298	26435	61978
299	26629	62135
300	26782	62196
301	26953	62295
302	27078	62290
303	27187	62245
304	27274	62150
305	27421	62191
306	27605	62314
307	27750	62347
308	27854	62289
309	27949	62209
310	27971	61968
311	28012	61771
312	28025	61512
313	28056	61295
314	28134	61180
315	28204	61050
316	28350	61083
317	28488	61097
318	28544	60936
319	28769	61134
320	28822	60966
321	28994	61051
322	29097	60987
323	29226	60978
324	29298	60849
325	29379	60742
326	29430	60571
327	29548	60538
328	29659	60491
329	29837	60578
330	29936	60506
331	30093	60550
332	30101	60294
333	30119	60059
334	30184	59917
335	30197	59675
336	30284	59579
337	30320	59384
338	30394	59263
339	30458	59124
340	30587	59112
341	30714	59093
342	30726	58855
343	30733	58608
344	30774	58427
345	30784	58188
346	30844	58044
347	30855	57810
348	30865	57574
349	30926	57434
350	30937	57204
351	30947	56970
352	31002	56823
353	31084	56724
354	31094	56495
355	31102	56264
356	31115	56042
357	31124	55816
358	31133	55590
359	31146	55370
360	31157	55151
361	31170	54935
362	31180	54716
363	31253	54607
364	31366	54568
365	31602	54743
366	31825	54892
367	31875	54743
368	31952	54639
369	32035	54546
370	32148	54504
371	32246	54438
372	32393	54453
373	32588	54547
374	32686	54478
375	32763	54373
376	32932	54421
377	33109	54481
378	33203	54405
379	33273	54288
380	33289	54084
381	33301	53875
382	33315	53670
383	33365	53523
384	33452	53436
385	33579	53414
386	33601	53224
387	33749	53232
388	33822	53125
389	33903	53028
390	33971	52912
391	34046	52806
392	34124	52705
393	34168	52554
394	34248	52455
395	34294	52307
396	34367	52200
397	34495	52176
398	34685	52245
399	34760	52141
400	34770	51939
401	34908	51928
402	35026	51887
403	35147	51851
404	35158	51652
405	35238	51556
406	35356	51514
407	35366	51316
408	35379	51123
409	35384	50918
410	35402	50734
411	35415	50544
412	35424	50348
413	35431	50151
414	35443	49962
415	35451	49768
416	35460	49577
417	35496	49423
418	35569	49321
419	35694	49292
420	35750	49166
421	35764	48985
422	35769	48791
423	35889	48755
424	36001	48708
425	36148	48706
426	36269	48671
427	36288	48498
428	36463	48533
429	36560	48464
430	36566	48274
431	36610	48135
432	36703	48061
433	36736	47909
434	36790	47785
435	36827	47639
436	36935	47584
437	36972	47439
438	37019	47306
439	37102	47221
440	37199	47153
441	37269	47050
442	37297	46895
