iter	Passed	Remaining
0	4	4517
1	8	4462
2	13	4630
3	18	4586
4	22	4572
5	27	4565
6	32	4559
7	36	4541
8	41	4530
9	45	4522
10	49	4469
11	53	4431
12	58	4466
13	63	4474
14	67	4448
15	72	4445
16	77	4458
17	81	4441
18	85	4417
19	89	4394
20	94	4401
21	98	4360
22	102	4334
23	107	4361
24	110	4313
25	114	4289
26	118	4278
27	122	4263
28	126	4241
29	131	4235
30	134	4215
31	138	4193
32	142	4186
33	146	4160
34	149	4134
35	154	4124
36	157	4100
37	161	4088
38	165	4082
39	170	4085
40	174	4070
41	178	4065
42	182	4063
43	186	4059
44	204	4344
45	209	4339
46	213	4331
47	218	4334
48	222	4327
49	227	4316
50	231	4308
51	236	4310
52	240	4305
53	245	4296
54	249	4287
55	253	4271
56	257	4261
57	262	4257
58	266	4243
59	269	4229
60	273	4210
61	277	4204
62	281	4189
63	286	4183
64	290	4181
65	295	4176
66	298	4159
67	302	4141
68	306	4134
69	311	4135
70	315	4125
71	319	4116
72	323	4110
73	328	4113
74	333	4114
75	337	4106
76	342	4106
77	347	4103
78	351	4094
79	355	4090
80	360	4086
81	363	4073
82	368	4069
83	372	4066
84	377	4061
85	381	4055
86	386	4051
87	390	4046
88	394	4039
89	398	4033
90	404	4036
91	409	4038
92	413	4032
93	417	4027
94	421	4019
95	426	4019
96	431	4019
97	436	4021
98	440	4009
99	445	4005
100	449	3999
101	453	3994
102	457	3985
103	462	3986
104	467	3981
105	471	3972
106	475	3968
107	479	3963
108	484	3960
109	488	3954
110	493	3949
111	497	3946
112	502	3943
113	506	3939
114	511	3935
115	516	3934
116	520	3929
117	524	3923
118	529	3916
119	533	3910
120	537	3903
121	541	3899
122	546	3894
123	550	3890
124	554	3882
125	558	3876
126	563	3870
127	567	3864
128	570	3854
129	575	3848
130	579	3845
131	583	3839
132	588	3837
133	593	3833
134	598	3836
135	603	3831
136	607	3829
137	612	3823
138	616	3821
139	621	3816
140	625	3811
141	630	3807
142	634	3802
143	638	3798
144	643	3795
145	648	3794
146	653	3790
147	658	3787
148	662	3784
149	667	3781
150	671	3776
151	676	3772
152	680	3767
153	685	3763
154	689	3758
155	693	3754
156	698	3751
157	703	3747
158	707	3744
159	712	3739
160	716	3734
161	721	3730
162	725	3727
163	730	3724
164	735	3721
165	740	3718
166	745	3716
167	749	3711
168	753	3707
169	758	3703
170	762	3698
171	767	3692
172	771	3687
173	775	3680
174	779	3676
175	784	3672
176	788	3666
177	793	3665
178	798	3660
179	802	3657
180	807	3652
